event_id,battle_id,seq,turn_no,phase,event_type,command,actor_id,actor_side,actor_slot,actor_name,target_id,target_side,target_slot,target_name,move_name,pokemon_name,hp_current,hp_max,hp_status,delta_hp,effect,source,details_json,raw_args_json,raw_line
smogtours-gen5ou-59402:000001,smogtours-gen5ou-59402,1,,Meta,TimerNotice,inactive,,,,,,,,,,,,,,,,,"{""tags"": [""Battle timer is ON: inactive players will automatically lose when time's up.""], ""other"": [""Battle timer is ON: inactive players will automatically lose when time's up.""]}","[""Battle timer is ON: inactive players will automatically lose when time's up.""]",|inactive|Battle timer is ON: inactive players will automatically lose when time's up.
smogtours-gen5ou-59402:000002,smogtours-gen5ou-59402,2,,Spectator,UserJoined,J,,,,Reymedy,,,,,,,,,,,,,,"[""Reymedy""]",|J|Reymedy
smogtours-gen5ou-59402:000003,smogtours-gen5ou-59402,3,,Spectator,UserJoined,J,,,,Leftiez~,,,,,,,,,,,,,,"[""Leftiez~""]",|J|Leftiez~
smogtours-gen5ou-59402:000004,smogtours-gen5ou-59402,4,,Meta,PlayerDeclared,player,,p1,,Reymedy,,,,,,,,,,,,,"{""avatar"": ""#reymedy""}","[""p1"", ""Reymedy"", ""#reymedy""]",|player|p1|Reymedy|#reymedy
smogtours-gen5ou-59402:000005,smogtours-gen5ou-59402,5,,Meta,PlayerDeclared,player,,p2,,Leftiez~,,,,,,,,,,,,,"{""avatar"": ""#leftiez""}","[""p2"", ""Leftiez~"", ""#leftiez""]",|player|p2|Leftiez~|#leftiez
smogtours-gen5ou-59402:000006,smogtours-gen5ou-59402,6,,Meta,GameTypeDeclared,gametype,,,,,,,,,,,,,,,,,,"[""singles""]",|gametype|singles
smogtours-gen5ou-59402:000007,smogtours-gen5ou-59402,7,,Meta,GenerationDeclared,gen,,,,,,,,,,,,,,,,,,"[""5""]",|gen|5
smogtours-gen5ou-59402:000008,smogtours-gen5ou-59402,8,,Meta,TierDeclared,tier,,,,,,,,,,,,,,,,,,"[""[Gen 5] OU""]",|tier|[Gen 5] OU
smogtours-gen5ou-59402:000009,smogtours-gen5ou-59402,9,,Meta,RuleDeclared,rule,,,,,,,,,,,,,,,,,,"[""Evasion Abilities Clause: Evasion abilities are banned""]",|rule|Evasion Abilities Clause: Evasion abilities are banned
smogtours-gen5ou-59402:000010,smogtours-gen5ou-59402,10,,Meta,TeamPreviewCleared,clearpoke,,,,,,,,,,,,,,,,,"{""tags"": []}",[],|clearpoke
smogtours-gen5ou-59402:000011,smogtours-gen5ou-59402,11,,Meta,TeamPokemonDeclared,poke,,p1,,,,,,,,"Politoed, M",,,,,,,,"[""p1"", ""Politoed, M""]","|poke|p1|Politoed, M"
smogtours-gen5ou-59402:000012,smogtours-gen5ou-59402,12,,Meta,TeamPokemonDeclared,poke,,p1,,,,,,,,Jirachi,,,,,,,,"[""p1"", ""Jirachi""]",|poke|p1|Jirachi
smogtours-gen5ou-59402:000013,smogtours-gen5ou-59402,13,,Meta,TeamPokemonDeclared,poke,,p1,,,,,,,,"Breloom, F",,,,,,,,"[""p1"", ""Breloom, F""]","|poke|p1|Breloom, F"
smogtours-gen5ou-59402:000014,smogtours-gen5ou-59402,14,,Meta,TeamPokemonDeclared,poke,,p1,,,,,,,,"Garchomp, M",,,,,,,,"[""p1"", ""Garchomp, M""]","|poke|p1|Garchomp, M"
smogtours-gen5ou-59402:000015,smogtours-gen5ou-59402,15,,Meta,TeamPokemonDeclared,poke,,p1,,,,,,,,Zapdos,,,,,,,,"[""p1"", ""Zapdos""]",|poke|p1|Zapdos
smogtours-gen5ou-59402:000016,smogtours-gen5ou-59402,16,,Meta,TeamPokemonDeclared,poke,,p1,,,,,,,,"Tentacruel, M",,,,,,,,"[""p1"", ""Tentacruel, M""]","|poke|p1|Tentacruel, M"
smogtours-gen5ou-59402:000017,smogtours-gen5ou-59402,17,,Meta,TeamPokemonDeclared,poke,,p2,,,,,,,,"Stoutland, F",,,,,,,,"[""p2"", ""Stoutland, F""]","|poke|p2|Stoutland, F"
smogtours-gen5ou-59402:000018,smogtours-gen5ou-59402,18,,Meta,TeamPokemonDeclared,poke,,p2,,,,,,,,"Hippowdon, F",,,,,,,,"[""p2"", ""Hippowdon, F""]","|poke|p2|Hippowdon, F"
smogtours-gen5ou-59402:000019,smogtours-gen5ou-59402,19,,Meta,TeamPokemonDeclared,poke,,p2,,,,,,,,Rotom-Wash,,,,,,,,"[""p2"", ""Rotom-Wash""]",|poke|p2|Rotom-Wash
smogtours-gen5ou-59402:000020,smogtours-gen5ou-59402,20,,Meta,TeamPokemonDeclared,poke,,p2,,,,,,,,"Ferrothorn, F",,,,,,,,"[""p2"", ""Ferrothorn, F""]","|poke|p2|Ferrothorn, F"
smogtours-gen5ou-59402:000021,smogtours-gen5ou-59402,21,,Meta,TeamPokemonDeclared,poke,,p2,,,,,,,,"Latios, M",,,,,,,,"[""p2"", ""Latios, M""]","|poke|p2|Latios, M"
smogtours-gen5ou-59402:000022,smogtours-gen5ou-59402,22,,Meta,TeamPokemonDeclared,poke,,p2,,,,,,,,Metagross,,,,,,,,"[""p2"", ""Metagross""]",|poke|p2|Metagross
smogtours-gen5ou-59402:000023,smogtours-gen5ou-59402,23,,Meta,RuleDeclared,rule,,,,,,,,,,,,,,,,,,"[""Sleep Clause Mod: Limit one foe put to sleep""]",|rule|Sleep Clause Mod: Limit one foe put to sleep
