Atk_Strength,Atk_Magic,Atk_WeaponAttack,Atk_WeaponMagic,Def_Vitality,Def_Spirit,Def_ArmorDefense,Def_ArmorSpirit,Move_Power,Move_Category,Move_Element,Def_ResistElement,Def_AbsorbElement,Damage
32,31,62,20,30,21,69,3,50,Magic,Water,None,None,248
63,54,82,11,36,69,49,2,32,Physical,None,Wind,Lightning,691
24,56,62,42,28,56,29,11,66,Magic,Holy,None,None,831
35,76,53,21,68,49,31,17,66,Magic,Holy,None,None,840
27,35,28,7,68,49,31,17,66,Magic,Holy,None,None,208
77,33,50,18,42,34,48,25,32,Physical,None,Holy,None,596
68,61,90,4,34,20,27,11,32,Physical,None,Ice,None,898
59,27,35,8,28,51,62,4,32,Physical,None,Water,None,347
77,31,68,22,41,26,35,7,32,Physical,None,Ice,None,706
25,55,40,40,67,22,38,5,60,Magic,Lightning,Lightning,Gravity,1509
62,74,17,2,30,21,69,3,66,Magic,Holy,None,None,575
78,49,16,18,31,70,43,13,50,Magic,Water,Water,None,673
61,41,15,26,61,21,58,0,66,Magic,Holy,None,None,461
77,31,68,22,67,22,38,5,32,Physical,None,Lightning,Gravity,682
35,76,53,21,42,53,56,8,48,Magic,Earth,Earth,None,1130
51,27,44,36,68,47,12,9,46,Magic,Poison,Poison,None,569
77,55,56,17,39,50,40,3,32,Physical,None,None,None,662
33,71,34,16,30,31,56,0,66,Magic,Holy,None,None,745
46,67,48,38,23,52,20,19,50,Magic,Water,Water,None,1278
79,76,79,35,31,20,15,25,32,Physical,None,None,None,946
27,50,35,4,51,37,10,13,46,Magic,Poison,Poison,None,462
77,31,68,22,68,49,31,17,32,Physical,None,None,None,673
32,24,48,12,24,40,18,6,32,Physical,None,Poison,None,283
58,22,50,37,68,31,11,0,50,Magic,Water,Water,None,549
80,79,50,31,42,53,56,8,48,Magic,Earth,Earth,None,1501
77,62,58,42,34,20,27,11,60,Magic,Ice,Ice,None,1786
26,69,77,6,54,73,56,24,66,Magic,Holy,Holy,None,1019
23,49,73,10,78,33,69,21,32,Physical,None,None,None,302
51,22,45,23,79,45,41,3,32,Physical,None,Earth,Holy,315
49,64,60,49,34,20,27,11,60,Magic,Ice,Ice,None,1915
46,67,48,38,27,36,34,25,24,Physical,None,None,None,272
77,55,56,17,42,80,22,2,32,Physical,None,Earth,Holy,691
79,76,79,35,78,33,69,21,66,Magic,Holy,None,None,1046
64,22,23,20,31,70,43,13,32,Physical,None,Water,None,605
28,43,75,2,68,47,12,9,32,Physical,None,Poison,None,416
31,54,36,12,68,47,12,9,46,Magic,Poison,Poison,None,592
62,74,17,2,68,77,47,23,66,Magic,Holy,None,Poison,505
33,71,34,16,51,67,55,20,66,Magic,Holy,None,Gravity,657
32,22,85,27,37,35,25,1,32,Physical,None,None,None,517
59,27,35,8,37,75,58,11,32,Physical,None,None,None,361
33,71,34,16,54,78,58,22,46,Magic,Poison,Poison,None,841
71,49,28,44,77,62,60,0,24,Magic,Earth,Fire,None,269
79,64,16,4,64,73,57,0,60,Magic,Lightning,Lightning,None,781
