HP,MP,Strength,Magic,Vitality,Spirit,Dexterity,Luck,WeaponAttack,WeaponMagic,ArmorDefense,ArmorSpirit,ResistElement,AbsorbElement,Is_Victorious
4258,112,32,31,67,36,63,11,62,20,25,14,Gravity,None,0
1992,139,63,54,27,36,31,26,82,11,34,25,None,None,1
3331,113,24,56,62,39,22,21,62,42,54,25,None,None,1
3030,130,27,38,55,25,25,13,72,48,11,15,None,None,0
4417,203,32,24,63,71,54,21,48,12,56,5,Poison,Gravity,1
1657,206,25,70,30,31,63,5,86,1,56,0,None,None,0
3253,175,51,27,63,36,67,22,44,36,63,15,Fire,None,0
4477,180,62,74,75,55,71,13,17,2,26,20,None,None,1
1943,273,25,38,34,32,52,30,39,48,56,6,None,None,0
4285,198,26,69,39,50,41,12,77,6,40,3,None,None,1
3253,175,51,27,63,36,67,22,44,36,63,15,Fire,None,1
1555,111,45,36,77,62,51,29,41,19,60,0,Fire,None,0
1657,206,25,70,30,31,63,5,86,1,56,0,None,None,0
1992,139,63,54,27,36,31,26,82,11,34,25,None,None,1
4258,112,32,31,67,36,63,11,62,20,25,14,Gravity,None,1
2869,253,64,30,30,21,33,20,16,43,69,3,None,None,0
3743,100,64,22,48,29,32,22,23,20,49,5,None,Water,0
2960,144,75,28,28,56,34,19,73,47,29,11,None,None,1
4307,113,39,78,51,67,31,10,43,30,18,3,None,None,1
3298,167,77,55,38,21,29,5,56,17,62,14,Poison,None,0
1715,267,58,22,36,75,75,16,50,37,61,15,None,None,0
4232,221,61,41,68,49,40,13,15,26,31,17,None,None,1
3424,192,59,27,31,70,79,14,35,8,43,13,Water,None,0
4127,262,33,71,61,21,38,18,34,16,58,0,None,None,1
3410,132,31,54,68,67,31,22,36,12,70,9,None,Lightning,1
3060,121,52,54,63,66,44,10,30,5,38,15,Wind,None,0
2305,141,37,75,69,44,57,12,26,35,16,1,Gravity,Lightning,0
4307,113,39,78,51,67,31,10,43,30,18,3,None,None,1
2905,267,32,22,65,37,33,12,85,27,31,1,Gravity,Holy,1
2597,173,22,25,51,69,52,28,72,19,29,9,Gravity,None,0
4141,273,35,76,54,73,56,19,53,21,56,24,Holy,None,0
4127,262,33,71,61,21,38,18,34,16,58,0,None,None,1
4494,168,67,38,39,65,47,15,38,48,36,23,Ice,None,1
3030,130,27,38,55,25,25,13,72,48,11,15,None,None,0
1953,165,41,55,54,34,53,8,50,2,42,9,Holy,None,0
2374,110,46,41,51,37,54,28,60,13,10,13,Poison,None,1
4494,168,67,38,39,65,47,15,38,48,36,23,Ice,None,0
3015,173,45,79,68,77,38,5,50,19,47,23,None,Poison,1
2207,197,25,79,49,52,50,24,61,33,70,17,None,None,1
1657,206,25,70,30,31,63,5,86,1,56,0,None,None,0
2597,173,22,25,51,69,52,28,72,19,29,9,Gravity,None,0
3911,239,77,62,36,69,51,28,58,42,49,2,Wind,Lightning,1
2869,253,64,30,30,21,33,20,16,43,69,3,None,None,1
2176,206,78,49,44,47,45,17,16,18,39,10,Lightning,None,0
