Atk_Attack,Atk_HP,Atk_ManaCost,Def_Attack,Def_HP,Def_ManaCost,Card_Category,Damage
6,0,5,0,30,0,Spell,6
1,4,2,0,30,0,Minion,1
6,4,4,4,1,2,Minion,6
4,5,4,7,7,7,Minion,4
9,8,8,8,11,9,Minion,9
5,5,4,0,30,0,Minion,5
9,0,7,0,30,0,Spell,9
3,3,2,0,30,0,Minion,3
2,5,3,0,30,0,Minion,2
3,3,3,0,30,0,Minion,3
6,4,4,4,3,3,Minion,6
6,0,5,0,30,0,Spell,6
5,5,5,0,30,0,Minion,5
3,0,2,0,30,0,Spell,3
5,8,6,0,30,0,Minion,5
3,6,4,0,30,0,Minion,3
6,5,5,0,30,0,Minion,6
3,3,2,0,30,0,Minion,3
3,3,3,0,30,0,Minion,3
7,7,7,0,30,0,Minion,7
6,5,5,0,30,0,Minion,6
6,3,4,0,30,0,Minion,6
4,4,4,0,30,0,Minion,4
2,3,2,0,30,0,Minion,2
6,7,6,0,30,0,Minion,6
6,7,6,6,9,7,Minion,6
4,5,4,1,4,2,Minion,4
4,0,2,0,30,0,Spell,4
6,9,7,6,6,6,Minion,6
6,9,7,6,6,6,Minion,6
10,7,8,0,30,0,Minion,10
7,0,5,2,3,2,Spell,7
2,3,2,0,30,0,Minion,2
7,7,7,7,4,5,Minion,7
6,0,4,8,7,7,Spell,6
2,0,1,2,2,1,Spell,2
4,2,2,2,2,1,Minion,4
7,4,5,8,8,7,Minion,7
6,4,4,1,4,2,Minion,6
3,3,2,2,2,2,Minion,3
3,1,1,0,30,0,Minion,3
3,3,2,0,30,0,Minion,3
2,1,1,0,30,0,Minion,2
9,6,7,1,1,1,Minion,9
3,0,2,3,1,1,Spell,3
6,4,4,5,3,3,Minion,6
4,1,2,0,30,0,Minion,4
8,5,6,6,9,7,Minion,8
9,0,7,7,7,7,Spell,9
3,1,1,1,2,1,Minion,3
1,3,1,0,30,0,Minion,1
8,5,6,0,30,0,Minion,8
7,8,7,0,30,0,Minion,7
7,4,5,0,30,0,Minion,7
1,3,1,0,30,0,Minion,1
2,2,1,0,30,0,Minion,2
8,5,6,8,5,6,Minion,8
6,7,6,1,4,2,Minion,6
1,3,1,0,30,0,Minion,1
4,4,4,0,30,0,Minion,4
5,5,4,0,30,0,Minion,5
3,6,4,0,30,0,Minion,3
5,4,4,0,30,0,Minion,5
4,0,2,0,30,0,Spell,4
3,3,2,0,30,0,Minion,3
5,8,6,4,7,5,Minion,5
6,7,6,6,4,4,Minion,6
1,4,2,0,30,0,Minion,1
3,0,2,4,5,4,Spell,3
5,5,5,0,30,0,Minion,5
4,2,2,0,30,0,Minion,4
2,3,2,0,30,0,Minion,2
6,5,5,0,30,0,Minion,6
4,4,3,8,7,7,Minion,4
5,0,3,4,4,3,Spell,5
3,1,1,0,30,0,Minion,3
6,5,5,0,30,0,Minion,6
1,1,1,6,3,4,Minion,1
10,9,9,10,9,9,Minion,10
2,0,1,0,30,0,Spell,2
2,2,1,2,2,1,Minion,2
4,3,3,2,1,1,Minion,4
4,4,3,0,30,0,Minion,4
4,7,5,7,6,6,Minion,4
7,0,5,4,3,3,Spell,7
2,3,2,0,30,0,Minion,2
6,6,5,6,7,6,Minion,6
3,3,2,0,30,0,Minion,3
3,6,4,3,6,4,Minion,3
8,12,10,1,3,1,Minion,8
5,5,5,0,30,0,Minion,5
3,4,3,3,3,3,Minion,3
6,3,4,0,30,0,Minion,6
7,8,7,0,30,0,Minion,7
8,11,9,0,30,0,Minion,8
7,0,5,0,30,0,Spell,7
6,0,5,4,4,4,Spell,6
6,0,4,0,30,0,Spell,6
4,7,5,6,6,5,Minion,4
9,12,10,0,30,0,Minion,9
8,7,7,9,8,8,Minion,8
3,6,4,1,4,2,Minion,3
5,5,5,0,30,0,Minion,5
1,2,1,0,30,0,Minion,1
4,5,4,8,8,7,Minion,4
2,2,2,3,6,4,Minion,2
2,2,1,0,30,0,Minion,2
8,7,7,7,6,6,Minion,8
8,0,6,0,30,0,Spell,8
5,8,6,0,30,0,Minion,5
5,3,3,0,30,0,Minion,5
4,0,3,7,7,7,Spell,4
3,2,2,0,30,0,Minion,3
9,8,8,0,30,0,Minion,9
1,4,2,0,30,0,Minion,1
9,0,7,0,30,0,Spell,9
4,1,2,0,30,0,Minion,4
1,2,1,0,30,0,Minion,1
9,6,7,6,6,5,Minion,9
6,3,4,0,30,0,Minion,6
10,0,8,7,7,6,Spell,10
2,3,2,4,7,5,Minion,2
6,6,5,0,30,0,Minion,6
4,3,3,0,30,0,Minion,4
3,0,2,0,30,0,Spell,3
1,4,2,0,30,0,Minion,1
7,0,5,0,30,0,Spell,7
9,6,7,5,4,4,Minion,9
3,4,3,1,3,1,Minion,3
1,4,2,0,30,0,Minion,1
1,0,1,0,30,0,Spell,1
2,1,1,3,2,2,Minion,2
3,6,4,0,30,0,Minion,3
7,6,6,0,30,0,Minion,7
4,3,3,5,5,5,Minion,4
9,0,7,0,30,0,Spell,9
2,3,2,0,30,0,Minion,2
1,0,1,1,3,1,Spell,1
7,6,6,0,30,0,Minion,7
8,8,7,0,30,0,Minion,8
2,5,3,2,5,3,Minion,2
