HeroHP,DeckAvgAttack,DeckAvgHP,DeckAvgManaCost,DeckMinionCount,DeckSpellCount,DeckHealCount,DeckTotalStatPower,DeckTempo,StartHandSize,Archetype,Is_Victorious
30,4.3,4.1,3.93,20,6,4,168,2.54,4,Aggro,0
30,4.89,4.56,4.23,18,8,4,170,2.36,4,Midrange,1
30,4.76,5.12,3.73,17,6,7,168,2.68,4,Control,0
30,4.8,4.2,4.03,20,6,4,180,2.48,4,Aggro,1
30,5.76,5.88,4.8,17,6,7,198,2.08,4,Control,0
30,3.4,3.7,2.87,20,6,4,142,3.49,4,Aggro,1
30,5.0,4.82,4.4,17,6,7,167,2.27,4,Control,0
30,4.1,4.4,3.77,20,6,4,170,2.65,4,Aggro,1
30,4.83,4.61,3.87,18,8,4,170,2.59,4,Midrange,0
30,4.35,4.06,3.63,17,6,7,143,2.75,4,Control,1
30,4.9,3.75,3.8,20,6,4,173,2.63,4,Aggro,0
30,4.72,4.61,3.97,18,8,4,168,2.52,4,Midrange,1
30,4.15,4.3,3.47,20,6,4,169,2.88,4,Aggro,1
30,5.29,5.41,4.77,17,6,7,182,2.1,4,Control,0
30,4.56,4.39,3.7,18,8,4,161,2.7,4,Midrange,1
30,5.18,6.18,4.43,17,6,7,193,2.26,4,Control,0
30,6.0,5.71,4.6,17,6,7,199,2.17,4,Control,1
30,4.89,4.44,4.33,18,8,4,168,2.31,4,Midrange,0
30,4.67,5.0,4.23,18,8,4,174,2.36,4,Midrange,0
30,5.11,4.94,4.0,18,8,4,181,2.5,4,Midrange,1
30,5.76,5.65,4.53,17,6,7,194,2.21,4,Control,1
30,3.75,4.15,3.2,20,6,4,158,3.12,4,Aggro,0
30,4.11,4.11,3.57,18,8,4,148,2.8,4,Midrange,0
30,6.29,5.18,4.7,17,6,7,195,2.13,4,Control,1
30,4.59,5.0,4.27,17,6,7,163,2.34,4,Control,1
30,3.6,3.4,2.97,20,6,4,140,3.37,4,Aggro,0
30,4.35,3.85,3.97,20,6,4,164,2.52,4,Aggro,1
30,4.35,4.45,4.07,20,6,4,176,2.46,4,Aggro,0
30,3.95,4.2,3.6,20,6,4,163,2.78,4,Aggro,1
30,5.12,4.59,4.13,17,6,7,165,2.42,4,Control,0
30,3.8,4.15,3.93,20,6,4,159,2.54,4,Aggro,1
30,4.6,4.95,4.1,20,6,4,191,2.44,4,Aggro,0
30,4.75,4.55,3.83,20,6,4,186,2.61,4,Aggro,0
30,4.67,4.39,3.87,18,8,4,163,2.59,4,Midrange,1
30,5.1,4.65,4.2,20,6,4,195,2.38,4,Aggro,1
30,4.94,5.11,4.5,18,8,4,181,2.22,4,Midrange,0
30,4.89,4.22,4.23,18,8,4,164,2.36,4,Midrange,0
30,4.83,4.5,3.97,18,8,4,168,2.52,4,Midrange,1
30,6.94,6.06,5.67,17,6,7,221,1.76,4,Control,1
30,5.65,5.06,4.3,17,6,7,182,2.33,4,Control,0
30,5.94,5.18,4.3,17,6,7,189,2.33,4,Control,0
30,3.53,3.12,2.7,17,6,7,113,3.7,4,Control,1
30,4.41,4.88,4.17,17,6,7,158,2.4,4,Control,0
30,4.45,4.05,3.8,20,6,4,170,2.63,4,Aggro,1
30,4.65,4.6,3.8,20,6,4,185,2.63,4,Aggro,1
30,5.28,5.78,3.83,18,8,4,199,2.61,4,Midrange,0
30,5.67,4.67,4.0,18,8,4,186,2.5,4,Midrange,1
30,4.0,3.9,3.47,20,6,4,158,2.88,4,Aggro,0
30,5.0,5.18,3.8,17,6,7,173,2.63,4,Control,1
