Atk_Attack,Atk_SpAtk,Atk_Type1,Atk_Type2,Def_Defense,Def_SpDef,Def_Type1,Def_Type2,Move_Power,Move_Type,Move_Category,Damage
101,86,Water,Fairy,88,79,Bug,Mono,120,Flying,Physical,186
72,117,Flying,Rock,59,87,Poison,Mono,120,Flying,Physical,98
118,99,Fire,Ground,114,76,Dark,Mono,90,Ground,Special,67
128,71,Grass,Dragon,146,145,Normal,Fire,90,Water,Physical,62
114,118,Fairy,Mono,88,79,Bug,Mono,95,Fairy,Special,88
128,94,Fire,Normal,65,58,Flying,Mono,75,Electric,Physical,121
101,86,Water,Fairy,130,120,Psychic,Mono,90,Water,Physical,43
49,124,Bug,Mono,128,87,Rock,Mono,90,Grass,Special,113
75,136,Fairy,Dark,139,100,Water,Fairy,95,Fairy,Special,75
52,96,Normal,Mono,127,95,Steel,Water,90,Ground,Special,73
97,70,Ghost,Normal,59,52,Ground,Mono,120,Fighting,Physical,78
80,97,Poison,Bug,67,56,Flying,Dragon,90,Poison,Special,94
148,79,Dark,Mono,90,98,Flying,Mono,75,Electric,Physical,108
53,69,Psychic,Mono,71,43,Psychic,Mono,80,Ghost,Special,102
83,54,Psychic,Mono,93,129,Ghost,Mono,80,Psychic,Physical,42
154,116,Flying,Mono,79,138,Water,Psychic,120,Flying,Physical,137
114,118,Fairy,Mono,126,149,Fairy,Flying,80,Steel,Physical,60
90,114,Grass,Poison,140,87,Psychic,Electric,90,Grass,Special,70
66,120,Fairy,Mono,71,43,Psychic,Mono,95,Fairy,Special,161
66,120,Fairy,Mono,133,123,Dark,Mono,95,Fairy,Special,117
78,162,Water,Mono,117,135,Bug,Poison,90,Water,Special,66
68,135,Ghost,Mono,53,171,Water,Mono,70,Ghost,Physical,52
94,165,Bug,Poison,103,82,Rock,Bug,80,Dark,Special,68
53,96,Normal,Fire,77,72,Flying,Electric,90,Fire,Special,72
139,120,Poison,Mono,144,106,Dragon,Mono,90,Poison,Special,68
64,91,Psychic,Mono,102,124,Fighting,Ice,90,Psychic,Special,88
109,89,Poison,Mono,127,95,Steel,Water,75,Electric,Physical,56
129,118,Rock,Flying,126,149,Fairy,Flying,80,Rock,Special,84
140,85,Ice,Ground,65,58,Flying,Mono,75,Ice,Physical,321
64,134,Flying,Mono,110,113,Rock,Flying,90,Water,Physical,46
53,96,Normal,Fire,130,110,Fairy,Rock,100,Ground,Physical,33
51,98,Fighting,Fairy,53,171,Water,Mono,90,Electric,Special,41
109,89,Poison,Mono,90,98,Flying,Mono,75,Electric,Physical,77
75,136,Fairy,Dark,59,52,Ground,Mono,95,Fairy,Special,159
102,117,Ghost,Mono,64,101,Water,Ice,70,Ghost,Physical,71
128,94,Fire,Normal,148,63,Poison,Bug,90,Fire,Special,168
118,99,Fire,Ground,131,82,Bug,Mono,90,Fire,Special,129
105,94,Fairy,Mono,110,113,Rock,Flying,75,Electric,Physical,63
53,96,Normal,Fire,102,79,Fire,Ground,100,Ground,Physical,43
139,74,Ground,Mono,67,56,Flying,Dragon,120,Flying,Physical,105
125,61,Fighting,Ice,132,149,Ghost,Mono,80,Psychic,Physical,32
72,80,Steel,Water,139,100,Water,Fairy,80,Steel,Physical,27
152,49,Ice,Mono,71,43,Psychic,Mono,75,Ice,Physical,99
106,56,Flying,Mono,124,78,Fighting,Fairy,120,Flying,Physical,119
169,126,Poison,Mono,128,132,Fighting,Electric,90,Fairy,Physical,92
70,131,Rock,Mono,82,63,Rock,Mono,80,Rock,Special,100
72,80,Steel,Water,66,100,Dragon,Ground,90,Water,Physical,65
72,80,Steel,Water,117,80,Poison,Mono,90,Water,Special,55
113,80,Dark,Fairy,119,88,Ghost,Mono,80,Dark,Special,95
117,130,Fire,Ghost,146,145,Normal,Fire,90,Psychic,Special,34
136,73,Ghost,Mono,103,132,Fairy,Mono,70,Ghost,Physical,53
73,91,Flying,Mono,114,76,Dark,Mono,90,Bug,Special,92
128,71,Grass,Dragon,165,124,Flying,Mono,85,Dragon,Special,34
129,118,Rock,Flying,149,112,Fairy,Mono,90,Poison,Special,77
72,80,Steel,Water,139,100,Water,Fairy,80,Steel,Physical,25
75,108,Flying,Mono,147,78,Normal,Mono,75,Flying,Special,64
63,91,Psychic,Poison,62,162,Normal,Mono,80,Poison,Physical,50
114,118,Fairy,Mono,52,154,Dragon,Bug,90,Fairy,Physical,264
106,68,Grass,Normal,82,63,Rock,Mono,90,Grass,Physical,157
128,94,Fire,Normal,140,103,Flying,Mono,75,Electric,Physical,60
