HP,Attack,Defense,SpAtk,SpDef,Speed,Type1,Type2,Is_Victorious
195,52,62,96,162,57,Normal,Mono,1
116,117,107,130,78,57,Fire,Ghost,0
157,154,88,81,54,143,Electric,Mono,0
172,169,117,126,80,135,Poison,Mono,1
131,103,67,69,56,52,Flying,Dragon,0
188,97,101,70,72,69,Ghost,Normal,1
158,139,61,74,75,156,Ground,Mono,1
120,152,70,49,96,99,Ice,Mono,0
103,90,157,114,90,129,Grass,Poison,0
182,156,114,131,58,112,Ice,Mono,1
192,66,66,162,100,140,Dragon,Ground,1
166,122,130,101,110,75,Fairy,Rock,0
142,98,74,96,54,61,Fire,Bug,0
158,105,149,94,112,71,Fairy,Mono,1
114,113,95,80,134,122,Dark,Fairy,1
188,97,101,70,72,69,Ghost,Normal,0
200,106,114,54,76,71,Dark,Mono,0
160,51,124,98,78,73,Fighting,Fairy,1
149,73,90,91,98,79,Flying,Mono,0
159,114,61,118,77,135,Fairy,Mono,1
200,106,114,54,76,71,Dark,Mono,0
188,139,59,120,87,137,Poison,Mono,1
190,109,55,89,86,55,Poison,Mono,0
185,118,102,99,79,62,Fire,Ground,1
106,119,131,55,82,78,Bug,Mono,0
160,51,124,98,78,73,Fighting,Fairy,1
183,128,128,71,128,100,Grass,Dragon,0
191,53,126,104,149,78,Fairy,Flying,1
158,139,61,74,75,156,Ground,Mono,0
151,155,137,114,88,86,Water,Mono,1
178,125,102,61,124,54,Fighting,Ice,0
110,72,133,117,111,125,Flying,Rock,1
151,155,137,114,88,86,Water,Mono,1
189,155,82,81,63,119,Rock,Mono,0
107,94,117,165,135,78,Bug,Poison,0
110,72,133,117,111,125,Flying,Rock,1
110,72,133,117,111,125,Flying,Rock,1
160,51,124,98,78,73,Fighting,Fairy,0
146,136,93,73,129,80,Ghost,Mono,1
131,103,67,69,56,52,Flying,Dragon,0
135,75,75,108,52,142,Flying,Mono,1
109,49,103,71,112,82,Ice,Grass,0
188,139,59,120,87,137,Poison,Mono,1
182,156,114,131,58,112,Ice,Mono,0
103,90,157,114,90,129,Grass,Poison,0
107,94,117,165,135,78,Bug,Poison,1
164,129,110,118,113,122,Rock,Flying,1
135,75,75,108,52,142,Flying,Mono,0
110,72,133,117,111,125,Flying,Rock,0
123,57,128,130,132,101,Fighting,Electric,1
135,75,75,108,52,142,Flying,Mono,0
182,156,114,131,58,112,Ice,Mono,1
188,97,101,70,72,69,Ghost,Normal,0
157,75,135,136,139,73,Fairy,Dark,1
151,155,137,114,88,86,Water,Mono,0
146,79,165,97,124,101,Flying,Mono,1
131,103,67,69,56,52,Flying,Dragon,0
171,102,132,117,149,105,Ghost,Mono,1
115,49,88,124,79,148,Bug,Mono,0
154,64,102,134,91,140,Flying,Mono,1
153,63,150,91,158,102,Psychic,Poison,1
190,106,104,68,110,50,Grass,Normal,0
172,169,117,126,80,135,Poison,Mono,1
196,110,150,67,114,83,Fighting,Mono,0
131,103,67,69,56,52,Flying,Dragon,0
157,75,135,136,139,73,Fairy,Dark,1
132,80,148,97,63,105,Poison,Bug,0
181,53,153,69,54,163,Psychic,Mono,1
110,72,133,117,111,125,Flying,Rock,0
138,66,103,120,132,87,Fairy,Mono,1
164,129,110,118,113,122,Rock,Flying,1
116,117,107,130,78,57,Fire,Ghost,0
126,96,147,108,78,70,Normal,Mono,0
171,102,132,117,149,105,Ghost,Mono,1
146,136,93,73,129,80,Ghost,Mono,0
171,102,132,117,149,105,Ghost,Mono,1
189,155,82,81,63,119,Rock,Mono,1
146,79,165,97,124,101,Flying,Mono,0
196,159,128,85,87,108,Rock,Mono,1
116,117,107,130,78,57,Fire,Ghost,0
200,106,114,54,76,71,Dark,Mono,0
172,169,117,126,80,135,Poison,Mono,1
134,70,152,131,94,105,Rock,Mono,1
131,103,67,69,56,52,Flying,Dragon,0
181,99,82,120,163,142,Poison,Mono,1
115,72,127,80,95,170,Steel,Water,0
188,97,101,70,72,69,Ghost,Normal,1
